,Date,Latitude,Longitude,Location,coords_x,coords_y
0,2011-08-29,42.3916233333333,-88.0891633333333,"(42.3916233333333, -88.0891633333333)",-9806040.806672169,5219824.44217084
1,2011-08-29,42.3913483333333,-88.0891633333333,"(42.3913483333333, -88.0891633333333)",-9806040.806672169,5219782.9925322365
2,2011-08-29,42.3910216666667,-88.0891566666667,"(42.3910216666667, -88.0891566666667)",-9806040.064542238,5219733.755621782
3,2011-08-29,42.3906366666667,-88.0891583333333,"(42.3906366666667, -88.0891583333333)",-9806040.250074714,5219675.72673485
4,2011-08-29,42.39041,-88.0888583333333,"(42.39041, -88.0888583333333)",-9806006.854227476,5219641.562708136
5,2011-08-29,42.390395,-88.08831500000002,"(42.390395, -88.08831500000002)",-9805946.370637484,5219639.301857777
6,2011-08-29,42.3906733333333,-88.0880016666667,"(42.3906733333333, -88.0880016666667)",-9805911.490530372,5219681.253280164
7,2011-08-29,42.391026666666704,-88.0880016666667,"(42.391026666666704, -88.0880016666667)",-9805911.490530372,5219734.50924603
8,2011-08-29,42.391403333333294,-88.0880033333333,"(42.391403333333294, -88.0880033333333)",-9805911.676062848,5219791.282445426
9,2011-08-29,42.391718333333294,-88.08799499999998,"(42.391718333333294, -88.08799499999998)",-9805910.748400426,5219838.7611791035
10,2011-08-29,42.392038333333296,-88.0879883333333,"(42.392038333333296, -88.0879883333333)",-9805910.006270485,5219886.993787456
11,2011-08-29,42.39241,-88.0880783333333,"(42.39241, -88.0880783333333)",-9805920.025024658,5219943.0142610455
12,2011-08-29,42.3928,-88.0883316666667,"(42.3928, -88.0883316666667)",-9805948.225962333,5220001.798433061
13,2011-08-29,42.3932566666667,-88.08837,"(42.3932566666667, -88.08837)",-9805952.493209476,5220070.631645775
14,2011-08-29,42.3936,-88.0882316666667,"(42.3936, -88.0882316666667)",-9805937.094013253,5220122.382493174
15,2011-08-29,42.3932033333333,-88.0884166666667,"(42.3932033333333, -88.0884166666667)",-9805957.68811905,5220062.59270458
16,2011-08-29,42.3927916666667,-88.0883116666667,"(42.3927916666667, -88.0883116666667)",-9805945.999572515,5220000.542357195
17,2011-08-29,42.3924766666667,-88.08821,"(42.3924766666667, -88.08821)",-9805934.68209095,5219953.06281158
18,2011-08-29,42.392385,-88.08869666666668,"(42.392385, -88.08869666666668)",-9805988.857576469,5219939.246057346
19,2011-08-29,42.392098333333294,-88.0891133333333,"(42.392098333333294, -88.0891133333333)",-9806035.24069763,5219896.037428897
20,2011-08-29,42.39218,-88.0894983333333,"(42.39218, -88.0894983333333)",-9806078.098701583,5219908.346843649
21,2011-08-29,42.3924283333333,-88.08979000000002,"(42.3924283333333, -88.08979000000002)",-9806110.566886405,5219945.77761137
22,2011-08-29,42.3927216666667,-88.09004166666668,"(42.3927216666667, -88.09004166666668)",-9806138.582291586,5219989.991326466
23,2011-08-29,42.3929583333333,-88.0903,"(42.3929583333333, -88.0903)",-9806167.339826707,5220025.663906289
24,2011-08-29,42.39299000000001,-88.09089499999997,"(42.39299000000001, -88.09089499999997)",-9806233.574923726,5220030.437008169
25,2011-08-29,42.39300166666671,-88.0916116666667,"(42.39300166666671, -88.0916116666667)",-9806313.353892133,5220032.195519996
26,2011-08-29,42.3930083333333,-88.09201,"(42.3930083333333, -88.09201)",-9806357.696155963,5220033.200384027
27,2011-08-29,42.39302,-88.0925483333333,"(42.39302, -88.0925483333333)",-9806417.623148503,5220034.958896367
28,2011-08-29,42.393103333333286,-88.0931816666667,"(42.393103333333286, -88.0931816666667)",-9806488.12549268,5220047.519708274
29,2011-08-29,42.3931183333333,-88.0937366666667,"(42.3931183333333, -88.0937366666667)",-9806549.90781007,5220049.780656189
30,2011-08-29,42.393423333333295,-88.09389499999997,"(42.393423333333295, -88.09389499999997)",-9806567.533396106,5220095.753380993
31,2011-08-29,42.3937433333333,-88.094075,"(42.3937433333333, -88.094075)",-9806587.570904452,5220143.987299636
32,2011-08-29,42.394105,-88.09425,"(42.394105, -88.09425)",-9806607.05181534,5220198.501972497
33,2011-08-29,42.394478333333296,-88.0942233333333,"(42.394478333333296, -88.0942233333333)",-9806604.083295584,5220254.775512695
34,2011-08-29,42.39486,-88.0941983333333,"(42.39486, -88.0941983333333)",-9806601.300308311,5220312.305504758
35,2011-08-29,42.395085,-88.094515,"(42.395085, -88.094515)",-9806636.551480401,5220346.220729505
36,2011-08-29,42.395095,-88.0950266666667,"(42.395095, -88.0950266666667)",-9806693.509953193,5220347.72807565
37,2011-08-29,42.395078333333295,-88.09552,"(42.395078333333295, -88.09552)",-9806748.427568648,5220345.215832204
38,2011-08-29,42.39535166666671,-88.09577166666668,"(42.39535166666671, -88.09577166666668)",-9806776.442973832,5220386.41670889
39,2011-08-29,42.3956966666667,-88.0958333333333,"(42.3956966666667, -88.0958333333333)",-9806783.30767576,5220438.42051063
40,2011-08-29,42.3959833333333,-88.0957566666667,"(42.3959833333333, -88.0957566666667)",-9806774.773181474,5220481.6316164965
41,2011-08-29,42.3952183333333,-88.095685,"(42.3952183333333, -88.095685)",-9806766.795284629,5220366.31869784
42,2011-08-29,42.3949316666667,-88.095555,"(42.3949316666667, -88.095555)",-9806752.323750826,5220323.10811871
43,2011-08-29,42.3946166666667,-88.0955966666667,"(42.3946166666667, -88.0955966666667)",-9806756.962062946,5220275.626954121
44,2011-08-29,42.39429000000001,-88.0956,"(42.39429000000001, -88.0956)",-9806757.333127912,5220226.387479601
45,2011-08-29,42.3939566666667,-88.095485,"(42.3939566666667, -88.095485)",-9806744.53138647,5220176.143382042
46,2011-08-29,42.3936733333333,-88.0953716666667,"(42.3936733333333, -88.0953716666667)",-9806731.915177517,5220133.436108919
47,2011-08-29,42.393331666666704,-88.0952216666667,"(42.393331666666704, -88.0952216666667)",-9806715.217253897,5220081.93641837
48,2011-08-29,42.3930366666667,-88.0951433333333,"(42.3930366666667, -88.0951433333333)",-9806706.497227112,5220037.471057424
49,2011-08-29,42.3926466666667,-88.0951383333333,"(42.3926466666667, -88.0951383333333)",-9806705.940629657,5219978.68666374
50,2011-08-29,42.392348333333295,-88.09514,"(42.392348333333295, -88.09514)",-9806706.126162145,5219933.719361302
51,2011-08-29,42.39223666666671,-88.095455,"(42.39223666666671, -88.095455)",-9806741.191801747,5219916.888079624
52,2011-08-29,42.3922466666667,-88.09598000000003,"(42.3922466666667, -88.09598000000003)",-9806799.634534415,5219918.395357358
53,2011-08-29,42.392463333333296,-88.096435,"(42.392463333333296, -88.096435)",-9806850.284902724,5219951.05310061
54,2011-08-29,42.392838333333295,-88.09644499999997,"(42.392838333333295, -88.09644499999997)",-9806851.398097629,5220007.576384211
55,2011-08-29,42.393193333333286,-88.0964466666667,"(42.393193333333286, -88.0964466666667)",-9806851.58363012,5220061.085403867
56,2011-08-29,42.393488333333295,-88.0962666666667,"(42.393488333333295, -88.0962666666667)",-9806831.546121776,5220105.55087581
57,2011-08-29,42.393603333333296,-88.0959166666667,"(42.393603333333296, -88.0959166666667)",-9806792.5843,5220122.88492997
58,2011-08-29,42.3936783333333,-88.0955933333333,"(42.3936783333333, -88.0955933333333)",-9806756.590997968,5220134.189765008
59,2011-08-29,42.392526666666704,-88.0951483333333,"(42.392526666666704, -88.0951483333333)",-9806707.053824566,5219960.5992314825
60,2011-08-29,42.39219666666671,-88.0951633333333,"(42.39219666666671, -88.0951633333333)",-9806708.723616928,5219910.858971083
61,2011-08-29,42.39186,-88.09514,"(42.39186, -88.09514)",-9806706.126162145,5219860.114126431
62,2011-08-29,42.391518333333295,-88.0951433333333,"(42.391518333333295, -88.0951433333333)",-9806706.497227112,5219808.615923755
63,2011-08-29,42.39129666666671,-88.0952033333333,"(42.39129666666671, -88.0952033333333)",-9806713.17639656,5219775.205044655
64,2011-08-29,42.391275,-88.0956083333333,"(42.391275, -88.0956083333333)",-9806758.260790331,5219771.939325954
65,2011-08-29,42.39127,-88.096035,"(42.39127, -88.096035)",-9806805.757106407,5219771.185698722
66,2011-08-29,42.3912383333333,-88.0964683333333,"(42.3912383333333, -88.0964683333333)",-9806853.995552413,5219766.4127276465
67,2011-08-29,42.3909516666667,-88.0964366666667,"(42.3909516666667, -88.0964366666667)",-9806850.470435213,5219723.2048885925
68,2011-08-29,42.3906416666667,-88.09644,"(42.3906416666667, -88.09644)",-9806850.841500178,5219676.480354476
69,2011-08-29,42.390335,-88.0964433333333,"(42.390335, -88.0964433333333)",-9806851.212565143,5219630.258461755
70,2011-08-29,42.3900483333333,-88.096435,"(42.3900483333333, -88.096435)",-9806850.284902724,5219587.051244516
71,2011-08-29,42.38987,-88.0962583333333,"(42.38987, -88.0962583333333)",-9806830.618459346,5219560.172435687
72,2011-08-29,42.38986666666671,-88.0958783333333,"(42.38986666666671, -88.0958783333333)",-9806788.317052845,5219559.67002878
73,2011-08-29,42.389858333333294,-88.0954866666667,"(42.389858333333294, -88.0954866666667)",-9806744.716918958,5219558.414011595
74,2011-08-29,42.389855,-88.09508000000002,"(42.389855, -88.09508000000002)",-9806699.4469927,5219557.911604779
75,2011-08-29,42.389843333333296,-88.0946666666667,"(42.389843333333296, -88.0946666666667)",-9806653.434936507,5219556.153181111
76,2011-08-29,42.389835,-88.0942183333333,"(42.389835, -88.0942183333333)",-9806603.52669813,5219554.897164413
77,2011-08-29,42.38971166666671,-88.09391,"(42.38971166666671, -88.09391)",-9806569.20318847,5219536.30813671
78,2011-08-29,42.38946,-88.09389499999997,"(42.38946, -88.09389499999997)",-9806567.533396106,5219498.376585357
79,2011-08-29,42.3897216666667,-88.09383333333332,"(42.3897216666667, -88.09383333333332)",-9806560.668694174,5219537.815353809
80,2011-08-29,42.3898566666667,-88.09490500000003,"(42.3898566666667, -88.09490500000003)",-9806679.966081813,5219558.162808194
81,2011-08-29,42.39006666666671,-88.095155,"(42.39006666666671, -88.095155)",-9806707.795954509,5219589.814490888
82,2011-08-29,42.39057,-88.0951433333333,"(42.39057, -88.0951433333333)",-9806706.497227112,5219665.678478887
83,2011-08-29,42.3909533333333,-88.095145,"(42.3909533333333, -88.095145)",-9806706.6827596,5219723.456096378
84,2011-08-29,42.391225,-88.0951533333333,"(42.391225, -88.0951533333333)",-9806707.610422019,5219764.403056341
85,2011-08-29,42.3915316666667,-88.095155,"(42.3915316666667, -88.095155)",-9806707.795954509,5219810.62560447
86,2011-08-29,42.391855,-88.0951716666667,"(42.391855, -88.0951716666667)",-9806709.65127936,5219859.360492173
87,2011-08-29,42.3929883333333,-88.09496999999998,"(42.3929883333333, -88.09496999999998)",-9806687.201848708,5220030.185792211
88,2011-08-29,42.3930533333333,-88.094515,"(42.3930533333333, -88.094515)",-9806636.551480401,5220039.983219126
89,2011-08-29,42.3930933333333,-88.09405500000003,"(42.3930933333333, -88.09405500000003)",-9806585.344514638,5220046.012409964
90,2011-08-29,42.3929016666667,-88.0938533333333,"(42.3929016666667, -88.0938533333333)",-9806562.895083988,5220017.122572119
91,2011-08-29,42.3925866666667,-88.0938666666667,"(42.3925866666667, -88.0938666666667)",-9806564.379343873,5219969.642943289
